n_dso,profile,ts_load_factor,dso_position,pcc_index_zero_based,pcc_bus_number,condition,coverage_percent,undercoverage_percent,overcoverage_percent,pinn_p_pu_dsbase,pinn_q_pu_dsbase,true_p_pu_dsbase,true_q_pu_dsbase,pinn_true_interface_distance_pu,disaggregation_squared_error,disaggregation_feasible,disaggregation_optimization_success,disaggregation_termination,disaggregation_solve_time_s
10,target_P30,1.05,2,77,78,P30,87.92401346901782,12.07598653098216,0.0,0.480542865743356,0.2872605454853566,0.48877813613864535,0.300118803018632,0.015269396362514202,5.1623881264225514e-12,True,True,optimal,0.47559559999990597
10,target_P30,1.05,3,10,11,P30,87.92401346901782,12.07598653098216,0.0,0.308661974734922,0.17325902297174472,0.3028329400627266,0.17556389881121975,0.006268181382590336,4.73680889467072e-11,True,True,optimal,0.35342709999986255
10,target_P30,1.05,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.2953297537591067,0.18590832001492402,0.2962629222776471,0.17992961261836748,0.006051094580126373,7.198901909385996e-11,True,True,optimal,0.3272870000000694
10,target_P30,1.05,5,44,45,P50,88.85079429437992,11.149205705620068,0.0,0.3042740863031731,0.17702183289627973,0.29782587543563993,0.18769190052734303,0.012467147494260162,3.027303911999593e-11,True,True,optimal,0.2982142000000749
10,target_P30,1.05,6,94,95,P30,87.92401346901782,12.07598653098216,0.0,0.3105049613885558,0.23021994631598397,0.3047592871092328,0.24017200197888094,0.011491570164319327,1.9700604810101736e-12,True,True,optimal,0.36806380000007266
10,target_P30,1.05,7,78,79,P30,87.92401346901782,12.07598653098216,0.0,0.48054288900488457,0.28726054537501766,0.48917124609426593,0.3001022422484392,0.015471190149782323,5.162394777849604e-12,True,True,optimal,0.37290200000006735
10,target_P30,1.05,8,87,88,P30,87.92401346901782,12.07598653098216,0.0,0.34843539099207566,0.2881695957937042,0.3206928191278944,0.29279807937904667,0.028126022718099462,1.2461036389267899e-11,True,True,optimal,0.3671763000002102
10,target_P30,1.05,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2953297535301516,0.18590832028841994,0.29323746181546256,0.18161504839443063,0.004775967773663789,7.198901776939207e-11,True,True,optimal,0.31417010000041046
10,target_P30,1.05,10,105,106,P50,88.85079429437992,11.149205705620068,0.0,0.305588781606358,0.2555760638896248,0.2979300772404634,0.1940574373323982,0.061993525194585265,2.8196633722945152e-11,True,True,optimal,0.30331089999981486
10,target_P50,0.9,1,59,60,P50,88.85079429437992,11.149205705620068,0.0,0.3042740853396018,0.17702177326372107,0.2977826738334708,0.17820729718584644,0.006598779456222326,3.027328588009842e-11,True,True,optimal,0.29589020000003075
10,target_P50,0.9,2,77,78,P50,88.85079429437992,11.149205705620068,0.0,0.3042740857644486,0.17702179985833527,0.2978254675205512,0.18765042242994118,0.012431906331097272,3.0273175872644113e-11,True,True,optimal,0.2978060000000369
10,target_P50,0.9,3,10,11,P50,88.85079429437992,11.149205705620068,0.0,0.3042740852917113,0.17702177143135106,0.29778266541311255,0.17820182013282773,0.006597806224657083,3.0273293620042597e-11,True,True,optimal,0.2689571999999316
10,target_P50,0.9,4,81,82,P30,87.92401346901782,12.07598653098216,0.0,0.3086619745071787,0.17325901351240222,0.3028461124404113,0.17496961088907606,0.006062210402546838,4.736817593797971e-11,True,True,optimal,0.34961329999987356
10,target_P50,0.9,5,44,45,P70,89.28451439818815,10.715485601811848,0.0,0.2895202273043995,0.25861421324044676,0.2807379174762628,0.19286323644050601,0.0663349072213396,2.0345076293288538e-11,True,True,optimal,0.2882009999998445
10,target_P50,0.9,6,94,95,P50,88.85079429437992,11.149205705620068,0.0,0.304274084989627,0.17702174483527025,0.297834980350195,0.17696064692429228,0.006439394498885771,3.0273402578350017e-11,True,True,optimal,0.28233289999980116
10,target_P50,0.9,7,78,79,P50,88.85079429437992,11.149205705620068,0.0,0.3055887854990103,0.25557628340953675,0.2992049907773754,0.23473576862012271,0.021796327482760922,2.8196804344081787e-11,True,True,optimal,0.3218971999999667
10,target_P50,0.9,8,87,88,P50,88.85079429437992,11.149205705620068,0.0,0.3055887851722743,0.25557627131006605,0.29857568284571867,0.22148925523767718,0.0348009808620682,2.819679643850761e-11,True,True,optimal,0.28145249999988664
10,target_P50,0.9,9,74,75,P30,87.92401346901782,12.07598653098216,0.0,0.30866197452101657,0.1732590152616285,0.30283758593145427,0.17520214777771564,0.006139972835224814,4.736816028457852e-11,True,True,optimal,0.34043860000019777
10,target_P50,0.9,10,105,106,P70,89.28451439818815,10.715485601811848,0.0,0.2895202656604464,0.2586177257459014,0.2807689759623445,0.1952491087259097,0.06397004529001436,2.0347210923689627e-11,True,True,optimal,0.2988121000003048
10,target_P50,1.0,1,59,60,P50,88.85079429437992,11.149205705620068,0.0,0.30427408535304173,0.17702177413581718,0.2977826861208927,0.17821394665919058,0.006599965099652536,3.027328227737018e-11,True,True,optimal,0.31629800000018804
10,target_P50,1.0,2,77,78,P50,88.85079429437992,11.149205705620068,0.0,0.3109792916773002,0.28633044464588403,0.30351821854190514,0.2852803010363278,0.007534614385116587,2.7933612636153556e-11,True,True,optimal,0.28533720000041285
10,target_P50,1.0,3,10,11,P50,88.85079429437992,11.149205705620068,0.0,0.30427408529361616,0.17702177185890275,0.29778267284285653,0.17820710902272932,0.006598746835409396,3.027329189391265e-11,True,True,optimal,0.27090140000018437
10,target_P50,1.0,4,81,82,P30,87.92401346901782,12.07598653098216,0.0,0.30866197457868644,0.1732590096620215,0.3029302687746491,0.17399028829353932,0.005778167517556892,4.736820883264603e-11,True,True,optimal,0.363180100000136
10,target_P50,1.0,5,44,45,P70,89.28451439818815,10.715485601811848,0.0,0.2895202612044099,0.2586173187906586,0.2807380521717994,0.19287443303453516,0.06632687406349827,2.034696368996144e-11,True,True,optimal,0.2962041999999201
10,target_P50,1.0,6,94,95,P50,88.85079429437992,11.149205705620068,0.0,0.30427408520674465,0.17702174183740518,0.29796385263584024,0.17591747222210807,0.006406125699841618,3.027341269894174e-11,True,True,optimal,0.2792784999996911
10,target_P50,1.0,7,78,79,P50,88.85079429437992,11.149205705620068,0.0,0.30558878658169214,0.2555762949366035,0.30340416495718503,0.284498360394271,0.029004455553929442,2.8196801567062358e-11,True,True,optimal,0.2875043000003643
10,target_P50,1.0,8,87,88,P50,88.85079429437992,11.149205705620068,0.0,0.30558878571147385,0.2555762872510877,0.3005169956197916,0.25272444063120486,0.0058185981024146535,2.8196805401205407e-11,True,True,optimal,0.3213461999998799
10,target_P50,1.0,9,74,75,P30,87.92401346901782,12.07598653098216,0.0,0.30924812965142867,0.17161235202534797,0.3056254005728806,0.16778988917844792,0.005266439802417647,5.603818186832712e-11,True,True,optimal,0.37110219999976835
10,target_P50,1.0,10,105,106,P70,89.28451439818815,10.715485601811848,0.0,0.2895202663665218,0.25861778885507153,0.28104191631414205,0.2093496624411323,0.0499923064075922,2.0347249139459027e-11,True,True,optimal,0.29033780000008846
10,target_P50,1.05,1,59,60,P50,88.85079429437992,11.149205705620068,0.0,0.30427408468009326,0.17702175365629166,0.2977826933690352,0.1782173031347288,0.006600568135294997,3.0273369965370384e-11,True,True,optimal,0.28673079999998663
10,target_P50,1.05,2,77,78,P50,88.85079429437992,11.149205705620068,0.0,0.4798614374891624,0.29586476166578846,0.4824486013716543,0.30591517080435626,0.01037806055134956,1.112970214072456e-11,True,True,optimal,0.2975848999999471
10,target_P50,1.05,3,10,11,P50,88.85079429437992,11.149205705620068,0.0,0.3042740846556826,0.17702175270391216,0.2977826747668704,0.17820831900904238,0.006598965217444258,3.027337398385973e-11,True,True,optimal,0.2864462999996249
10,target_P50,1.05,4,81,82,P30,87.92401346901782,12.07598653098216,0.0,0.30924812970165627,0.17161235145146483,0.31046929436897513,0.16431082590633503,0.007402939850552015,5.603818887478151e-11,True,True,optimal,0.3328317000000425
10,target_P50,1.05,5,44,45,P70,89.28451439818815,10.715485601811848,0.0,0.28952001535543387,0.2585948251873789,0.28073790153820827,0.19286187124403759,0.06631701710131524,2.033330193334469e-11,True,True,optimal,0.2847361999997702
10,target_P50,1.05,6,94,95,P50,88.85079429437992,11.149205705620068,0.0,0.3053503157377288,0.24132753183829272,0.30019158975482896,0.24852179274607175,0.008852674385508795,1.977988502072562e-11,True,True,optimal,0.29795329999979003
10,target_P50,1.05,7,78,79,P50,88.85079429437992,11.149205705620068,0.0,0.4798614440154209,0.29586476166675424,0.4832405412932346,0.30588346939887895,0.010573211576179846,1.1129708621639303e-11,True,True,optimal,0.2777117000000544
10,target_P50,1.05,8,87,88,P50,88.85079429437992,11.149205705620068,0.0,0.354218100366731,0.2961962293114108,0.31786178220947126,0.2989533017101482,0.03646070923835376,2.1976979001119833e-11,True,True,optimal,0.2909805999997843
10,target_P50,1.05,9,74,75,P30,87.92401346901782,12.07598653098216,0.0,0.30924812956044895,0.17161235157216284,0.30763076738126693,0.165893933104383,0.005942740966195143,5.6038189650070396e-11,True,True,optimal,0.35260999999991327
10,target_P50,1.05,10,105,106,P70,89.28451439818815,10.715485601811848,0.0,0.2895202663243715,0.2586178151813905,0.28088529235697485,0.2015635088448815,0.05770404359278323,2.03472678666002e-11,True,True,optimal,0.29127280000011524
10,target_P70,0.9,1,59,60,P70,89.28451439818815,10.715485601811848,0.0,0.2886826753628825,0.18188722395976165,0.2806880931204548,0.18250608227125079,0.008018499288560159,1.9960097438255846e-11,True,True,optimal,0.362612800000079
10,target_P70,0.9,2,77,78,P70,89.28451439818815,10.715485601811848,0.0,0.2886826770677151,0.18188738192000106,0.2807375031085996,0.19282234405831744,0.013516626287910026,1.9959702757590887e-11,True,True,optimal,0.35017530000004626
10,target_P70,0.9,3,10,11,P70,89.28451439818815,10.715485601811848,0.0,0.28868267530714437,0.18188722041009756,0.2806880850909147,0.18250086875671823,0.00801810682260753,1.99601063837076e-11,True,True,optimal,0.3820378000000346
10,target_P70,0.9,4,81,82,P50,88.85079429437992,11.149205705620068,0.0,0.3042740849651719,0.17702174796962677,0.2977978868633021,0.17752267148806278,0.006495542027112443,3.027339025401312e-11,True,True,optimal,0.2867204999997739
10,target_P70,0.9,5,44,45,P90,90.13210624061311,9.867893759386877,0.0,0.31087942015561787,0.1770391442778888,0.303968796967373,0.1900394899208634,0.014722965043995588,3.42145773389752e-11,True,True,optimal,0.2995633000000453
10,target_P70,0.9,6,94,95,P70,89.28451439818815,10.715485601811848,0.0,0.28868267496639183,0.1818871762253467,0.2807379338680074,0.18132009778588046,0.007964953802556945,1.9960216194215827e-11,True,True,optimal,0.3571718999996847
10,target_P70,0.9,7,78,79,P70,89.28451439818815,10.715485601811848,0.0,0.28952026707353495,0.25861783143516176,0.2819989759559711,0.2351426573138828,0.02465063123125875,2.0347273016763286e-11,True,True,optimal,0.2859189000000697
10,target_P70,0.9,8,87,88,P70,89.28451439818815,10.715485601811848,0.0,0.28952026683328236,0.25861782261027266,0.2813168583180858,0.22086770191319702,0.0386311729554123,2.034726884359339e-11,True,True,optimal,0.31108580000000075
10,target_P70,0.9,9,74,75,P50,88.85079429437992,11.149205705620068,0.0,0.3042740849740906,0.17702175093555417,0.2977880086447904,0.17779152671345688,0.006531595585900443,3.0273378316545045e-11,True,True,optimal,0.2935606999999436
10,target_P70,0.9,10,105,106,P90,90.13210624061311,9.867893759386877,0.0,0.31087942059178575,0.17703916291839086,0.30400567968493264,0.19288484123764785,0.017272343079383197,3.42144697100308e-11,True,True,optimal,0.29369580000002316
10,target_P70,1.0,1,59,60,P70,89.28451439818815,10.715485601811848,0.0,0.28868267539548065,0.18188722706936783,0.2806881045741096,0.18251229278747697,0.008018969370802763,1.9960089672747302e-11,True,True,optimal,0.36051020000013523
