noise_sd_pct,true_case_index,repeat_index,direction_index,feasibility_ratio_pct,optimality_ratio_pct,feasibility_success,optimality_success
0.0,3,1,6,0.00030412562737046323,3.4505358031452342,1,1
0.0,3,1,7,0.0007701757079236974,1.9713541488790005,1,1
0.0,3,1,8,0.0007128512836177006,2.5871208851121494,1,1
0.0,3,1,9,0.0015482606733016526,1.6718889540932151,1,1
0.0,3,2,0,0.0007128510686844449,2.5394725850762754,1,1
0.0,3,2,1,0.0006266402081844496,3.92066418890685,1,1
0.0,3,2,2,0.0003392096612096525,2.4777038444711064,1,1
0.0,3,2,3,0.0009892913714598917,1.50959193966397,1,1
0.0,3,2,4,0.000237913976710242,3.530705566702857,1,1
0.0,3,2,5,0.0010468947260583311,1.9817632582964217,1,1
0.0,3,2,6,0.0007128512887170792,2.569375496497811,1,1
0.0,3,2,7,0.0007701751660296775,2.4288511873651464,1,1
0.0,3,2,8,0.0010468947145749429,2.133779909806779,1,1
0.0,3,2,9,0.0002379139681803229,3.7279006161926405,1,1
0.0,4,0,0,0.0003799309681897675,1.656332351175045,1,1
0.0,4,0,1,0.001322826825892641,1.2582643536846376,1,1
0.0,4,0,2,0.0011858291965314801,1.4833647266101881,1,1
0.0,4,0,3,0.0007890059985740199,2.161052533720951,1,1
0.0,4,0,4,0.0006508237472446954,2.6139464229437337,1,1
0.0,4,0,5,0.00037993128126912785,1.815057959739643,1,1
0.0,4,0,6,0.0006474519257187843,2.4439264331952675,1,1
0.0,4,0,7,0.000379930968172042,2.009196189005755,1,1
0.0,4,0,8,0.0014511835476242365,1.6286038112657144,1,1
0.0,4,0,9,0.001451182126011973,1.5675645018617006,1,1
0.0,4,1,0,0.0006508235950217318,2.733521477005806,1,1
0.0,4,1,1,0.00037993128129939244,1.7135955752284615,1,1
0.0,4,1,2,0.0011858339689969058,1.6416960717283178,1,1
0.0,4,1,3,0.0006508235015621678,2.748283941408023,1,1
0.0,4,1,4,0.0007888707374096521,2.144654692343935,1,1
0.0,4,1,5,0.00029103946762377894,2.093762464466181,1,1
0.0,4,1,6,0.0016029706385207207,1.2845784559966018,1,1
0.0,4,1,7,0.00029103945037414536,2.016282067436307,1,1
0.0,4,1,8,0.0006508430565483235,2.4456158004499358,1,1
0.0,4,1,9,0.0007888715616562479,1.975877348353517,1,1
0.0,4,2,0,0.00036422408185849184,2.6527111167887125,1,1
0.0,4,2,1,0.0002910394660072628,2.564656078296646,1,1
0.0,4,2,2,0.0011858339684359892,1.3009317336463493,1,1
0.0,4,2,3,0.0003642240880697159,2.11004283277692,1,1
0.0,4,2,4,0.0011858291952373348,1.4539469230621593,1,1
0.0,4,2,5,0.0013228268257712888,1.2555095106813479,1,1
0.0,4,2,6,0.000364222900868696,2.109016481534189,1,1
0.0,4,2,7,0.0006508221333818441,2.554232153634551,1,1
0.0,4,2,8,0.0006508112700359318,2.441776435287236,1,1
0.0,4,2,9,0.0011858291961375452,1.6201228578986524,1,1
0.0,5,0,0,0.0010309932241839316,1.651651058021309,1,1
0.0,5,0,1,0.0010309928027929863,1.6534277203073378,1,1
0.0,5,0,2,0.0006140904654866213,2.591597294619968,1,1
0.0,5,0,3,0.0010309924294990606,1.6909887272474566,1,1
0.0,5,0,4,0.00030097186530103306,2.4174717666392134,1,1
0.0,5,0,5,0.0011801026742570768,1.4888314909596845,1,1
0.0,5,0,6,0.0006140824667582854,2.5897981447693468,1,1
0.0,5,0,7,0.0013435858973537688,1.7362470622509192,1,1
0.0,5,0,8,0.0005734374289552822,3.4195907469527254,1,1
0.0,5,0,9,0.0007670636075138932,2.650238582729611,1,1
0.0,5,1,0,0.0010309932261400813,1.7295968072963235,1,1
0.0,5,1,1,0.0007670639760360441,2.323339472693484,1,1
0.0,5,1,2,0.0007670642126330506,2.7126528526127114,1,1
0.0,5,1,3,0.0003009718646275914,1.5587602049117422,1,1
0.0,5,1,4,0.001180103042519966,1.5310309895108558,1,1
0.0,5,1,5,0.0005734731336868301,3.3702997196708293,1,1
0.0,5,1,6,0.00030097186430365716,1.7793655532559873,1,1
0.0,5,1,7,0.0007061369479394945,3.303581653625897,1,1
0.0,5,1,8,0.0003009718647027624,1.6332232060395964,1,1
0.0,5,1,9,0.0007119526020427606,2.416061759945026,1,1
0.0,5,2,0,0.0006140907238432688,3.2928348476885443,1,1
0.0,5,2,1,0.0005349696045050791,3.651847196242101,1,1
0.0,5,2,2,0.0013435881199192444,1.5510408794618677,1,1
0.0,5,2,3,0.0006140907825039303,2.7366018756164503,1,1
0.0,5,2,4,0.0007061515494703196,3.2332972821553714,1,1
0.0,5,2,5,0.0005731954851406059,3.4346448461542236,1,1
0.0,5,2,6,0.0005349755055176237,3.661118476157173,1,1
0.0,5,2,7,0.0005359340639518359,3.6833834660799347,1,1
0.0,5,2,8,0.0010437702454252666,1.4656005031826451,1,1
0.0,5,2,9,0.0007061514510022839,2.7115474357565277,1,1
0.0,6,0,0,0.00017401450605325996,3.0858298233159127,1,1
0.0,6,0,1,0.0014532690418818937,1.5962591974201787,1,1
0.0,6,0,2,0.0009588166782780412,1.8228170645009003,1,1
0.0,6,0,3,0.00017401404240640944,3.1960962768689947,1,1
0.0,6,0,4,0.0007562406453978921,2.807478513252008,1,1
0.0,6,0,5,0.00047899797602503824,3.192809818911634,1,1
0.0,6,0,6,0.0002649350275361895,3.1278946226781805,1,1
0.0,6,0,7,0.0009588166782780412,1.7826253808298675,1,1
0.0,6,0,8,0.0005038526712806068,3.039253590477899,1,1
0.0,6,0,9,0.0002649350279090063,3.159229003188837,1,1
0.0,6,1,0,0.001603707093530689,1.125737842089083,1,1
0.0,6,1,1,0.000999985173504004,1.8375533987017907,1,1
0.0,6,1,2,0.0014744381438603128,1.1875734950769565,1,1
0.0,6,1,3,0.0009588166775282142,1.8171911082449765,1,1
0.0,6,1,4,0.00026493502092358377,3.006015452967054,1,1
